"Ruby Red wo Kamikudaku","150369"
"Kick Off","152947"
"The Ghost's Nocturne","152634"
"Fangs","129913"
"Fourth Generation Head: Tatsuyuki Oyamato","93122"
"Forget My Husband, I'll Go Make Money","150639"
"Crazy Like a Fox","149130"
"Villains Behind the Curtains","149050"
"Baroness Goes on Strike","148102"
"The Lord's Bride","149364"
"Legs That Won't Walk","132048"
"Crowning a Spoiled Prince","152083"
"Inu mo Arukeba Koi ga Hajimaru","149878"
"Let's Hide My Little Brother","149267"
"I've Been Proposed to by a Villain","148535"
"Can I Even Move In Like This?","151511"
"I Love my Best Friend","143323"
"Don't Get Me Wrong, Boss!","147918"
"Born as the Second Daughter","151009"
"Miiyu Just Wanted His Dead Lover Back","163351"
"Lucky! Housekeeper","151503"
"The Little Lady Behind the Villain","151869"
"I Married the Male Lead's Dad","147664"
"Staff Only","97680"
"Fuck Buddy","116075"
"Dareka Yume Dato Itte Kure","146853"
"Megane to Koi to Aoi Tori","68827"
"Fake Fact Lips","143955"
"The King and Me","167790"
"A Girl & Her Guard Dog","119440"
"Talented Baby Squirrel","152040"
"Keep a Dog","150785"
"My Farm by the Palace","151188"
"Your Love Belongs to Me","114624"
"Mother's Contract Marriage","154454"
"BJ Alex","134696"
"Oretachi Business Tsugai Yattemasu!","147714"
"Hellen","151507"
"A Tree Without Roots","154659"
"Kousoku Syndrome","111291"
"Play After Call","153530"
"Hoezura ni Kamitsuku Kiss","141981"
"When I See Your Face, I Can't Hold Back","117749"
"The Male Lead's Little Lion Daughter","148238"
"Surviving as the Devil's Child","158214"
"Golden Sparkle","119661"
"Summertime","16098"
"Yuujou Vibration","149085"
"Picked Up By A Sly Man","143934"
"The Villainess Has Shrunk!","149280"
"Syunrai to Mitsu","143703"
"The Wicked Little Princess","149277"
"There's No Way This Is Fate","132039"
"The Lying Omega Can't Resist!","143964"
"Wakeari Omega wa Nige no Itte","146562"
"Rough and Tumble Hana and His Lovey-Dovey Boyfriend","153870"
